Agency Code,Agency Name,Mega 53 Agency Name,Agency Abbreviation,CGAC Agency Code,Mega 53 Sort Order,IT Dashboard,CFO Act,CIO Council,CIO Council Exec,First Active BY,Last Active BY
"000","International Assistance Programs (not including USAID)","","","","0","","","","","","2013"
"001","Legislative Branch","","","000","0","","","","","","2014"
"002","Judicial Branch","","","010","0","","","","","","2014"
"005","Department of Agriculture","Department of Agriculture","USDA","012","10","1","1","1","1","","2014"
"006","Department of Commerce","Department of Commerce","Commerce","013","40","1","1","1","","","2014"
"007","Department of Defense","Department of Defense","DOD","n/a","50","1","1","1","1","","2014"
"009","Department of Health and Human Services","Department of Health and Human Services","HHS","075","80","1","1","1","1","","2014"
"010","Department of the Interior","Department of the Interior","Interior","014","100","1","1","1","","","2014"
"011","Department of Justice","Department of Justice","Justice","015","110","1","1","1","1","","2014"
"012","Department of Labor","Department of Labor","Labor","016","120","1","1","1","","","2014"
"014","Department of State","Department of State","State","019","140","1","1","1","","","2014"
"015","Department of the Treasury","Department of the Treasury","Treasury","020","160","1","1","1","","","2014"
"016","Social Security Administration","Social Security Administration","SSA","028","310","1","1","1","1","","2014"
"018","Department of Education","Department of Education","ED","091","60","1","1","1","","","2014"
"019","Department of Energy","Department of Energy","Energy","089","70","1","1","1","1","","2014"
"020","Environmental Protection Agency","Environmental Protection Agency","EPA","068","200","1","1","1","1","","2014"
"021","Department of Transportation","Department of Transportation","DOT","069","150","1","1","1","","","2014"
"023","General Services Administration","General Services Administration","GSA","047","230","1","1","1","","","2014"
"024","Department of Homeland Security","Department of Homeland Security","DHS","070","90","1","1","1","1","","2014"
"025","Department of Housing and Urban Development","Department of Housing and Urban Development","HUD","086","95","1","1","1","","","2014"
"026","National Aeronautics and Space Administration","National Aeronautics and Space Administration","NASA","080","240","1","1","1","1","","2014"
"027","Office of Personnel Management","Office of Personnel Management","OPM","024","280","1","1","1","1","","2014"
"028","Small Business Administration","Small Business Administration","SBA","073","290","1","1","1","","","2014"
"029","Department of Veterans Affairs","Department of Veterans Affairs","VA","036","170","1","1","1","1","","2014"
"100","Executive Office of the President","Office of Management and Budget","OMB","011","270","","","","","","2014"
"154","Federal Drug Control Programs","","","n/a","0","","","","","","2014"
"184","U.S. Agency for International Development","U.S. Agency for International Development","USAID","n/a","145","1","1","1","","","2014"
"200","Other Defense Civil Programs","","","n/a","0","","","","","","2014"
"202","U.S. Army Corps of Engineers","U.S. Army Corps of Engineers","USACE","096","190","1","1","1","","","2014"
"302","Administrative Conference of the United States","","","302","","","","","","","2014"
"306","Advisory Council on Historic Preservation","","","306","0","","","","","","2014"
"309","Appalachian Regional Commission","","","309","0","","","","","","2014"
"310","Access Board","","","310","0","","","","","","2014"
"313","Barry Goldwater Scholarship and Excellence in Education Foundation","","","313","0","","","","","","2014"
"316","Central Intelligence Agency","","CIA","056","0","","","1","","","2014"
"323","Commission of Fine Arts","","","323","0","","","","","","2014"
"326","Commission on Civil Rights","","","326","0","","","","","","2014"
"338","Committee for Purchase from People who are Blind or Severely Disabled, activities","","","338","0","","","","","","2014"
"339","Commodity Futures Trading Commission","Commodity Futures Trading Commission","CFTC","339","0","","","","","","2014"
"343","Consumer Product Safety Commission","Consumer Product Safety Commission","CPSC","061","0","","","","","","2014"
"344","Corporation for Public Broadcasting","","","n/a","0","","","","","","2014"
"345","United States Court of Appeals for Veterans Claims","","","345","0","","","","","","2014"
"347","Defense Nuclear Facilities Safety Board","","","347","0","","","","","","2014"
"349","District of Columbia","","","349","0","","","","","","2014"
